TITLE	HAuCl4-gruppo6
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	21/05/06
TIME	15:47:47
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	  850.0000
LASTX	  400.0000
NPOINTS	     451
FIRSTY	     0.00311
MAXY	     0.52806
MINY	     0.00305
XYDATA
lam(nm)		abs
850.0000	0.003113
849.0000	0.00311847
848.0000	0.00315951
847.0000	0.00320202
846.0000	0.00323014
845.0000	0.0032459
844.0000	0.00325914
843.0000	0.00326618
842.0000	0.00320124
841.0000	0.00321025
840.0000	0.00329027
839.0000	0.00329647
838.0000	0.00330023
837.0000	0.00328898
836.0000	0.00325943
835.0000	0.00317828
834.0000	0.00326775
833.0000	0.00323385
832.0000	0.00328167
831.0000	0.00321796
830.0000	0.00315935
829.0000	0.00320703
828.0000	0.00325198
827.0000	0.00320452
826.0000	0.00316298
825.0000	0.00321263
824.0000	0.00308171
823.0000	0.00308509
822.0000	0.00308414
821.0000	0.00304763
820.0000	0.00305697
819.0000	0.00307444
818.0000	0.00306773
817.0000	0.0030835
816.0000	0.0030684
815.0000	0.00313122
814.0000	0.00315136
813.0000	0.00312676
812.0000	0.00309224
811.0000	0.00316888
810.0000	0.00321278
809.0000	0.0031652
808.0000	0.00322547
807.0000	0.00322814
806.0000	0.00324684
805.0000	0.00324239
804.0000	0.00326481
803.0000	0.00327225
802.0000	0.00329256
801.0000	0.00330017
800.0000	0.00333607
799.0000	0.00328502
798.0000	0.00333707
797.0000	0.00335859
796.0000	0.0033611
795.0000	0.00332206
794.0000	0.00329785
793.0000	0.00333482
792.0000	0.00334405
791.0000	0.00334224
790.0000	0.00333725
789.0000	0.00342511
788.0000	0.0033699
787.0000	0.00334077
786.0000	0.0032861
785.0000	0.00326069
784.0000	0.00319976
783.0000	0.00322928
782.0000	0.00320264
781.0000	0.00321779
780.0000	0.00327207
779.0000	0.00330043
778.0000	0.00327837
777.0000	0.00329077
776.0000	0.00325643
775.0000	0.0032773
774.0000	0.00332729
773.0000	0.00324509
772.0000	0.00329446
771.0000	0.00335714
770.0000	0.00336824
769.0000	0.00336243
768.0000	0.00338913
767.0000	0.00334339
766.0000	0.00331281
765.0000	0.0033342
764.0000	0.00332932
763.0000	0.00331272
762.0000	0.00331917
761.0000	0.00329394
760.0000	0.00334005
759.0000	0.0033153
758.0000	0.00328151
757.0000	0.00329456
756.0000	0.003271
755.0000	0.00324912
754.0000	0.00326246
753.0000	0.00329252
752.0000	0.00329391
751.0000	0.00333877
750.0000	0.0033729
749.0000	0.00334629
748.0000	0.0033412
747.0000	0.0033399
746.0000	0.00338853
745.0000	0.00338101
744.0000	0.003371
743.0000	0.00336227
742.0000	0.00338532
741.0000	0.00338651
