x	y
30.02500 578.0
30.07500 630.0
30.12500 648.0
30.17500 601.0
30.22500 565.0
30.27500 615.0
30.32500 583.0
30.37500 594.0
30.42500 622.0
30.47500 569.0
30.52500 578.0
30.57500 596.0
30.62500 602.0
30.67500 583.0
30.72500 571.0
30.77500 557.0
30.82500 609.0
30.87500 537.0
30.92500 610.0
30.97500 578.0
31.02500 600.0
31.07500 548.0
31.12500 600.0
31.17500 570.0
31.22500 598.0
31.27500 563.0
31.32500 566.0
31.37500 593.0
31.42500 566.0
31.47500 590.0
31.52500 566.0
31.57500 592.0
31.62500 573.0
31.67500 569.0
31.72500 548.0
31.77500 581.0
31.82500 562.0
31.87500 613.0
31.92500 560.0
31.97500 543.0
32.02500 552.0
32.07500 528.0
32.12500 529.0
32.17500 519.0
32.22500 583.0
32.27500 560.0
32.32500 547.0
32.37500 565.0
32.42500 539.0
32.47500 513.0
32.52500 538.0
32.57500 546.0
32.62500 515.0
32.67500 557.0
32.72500 526.0
32.77500 544.0
32.82500 516.0
32.87500 557.0
32.92500 523.0
32.97500 467.0
33.02500 514.0
33.07500 485.0
33.12500 500.0
33.17500 527.0
33.22500 501.0
33.27500 499.0
33.32500 505.0
33.37500 508.0
33.42500 511.0
33.47500 498.0
33.52500 533.0
33.57500 548.0
33.62500 540.0
33.67500 525.0
33.72500 538.0
33.77500 484.0
33.82500 459.0
33.87500 517.0
33.92500 513.0
33.97500 496.0
34.02500 460.0
34.07500 516.0
34.12500 530.0
34.17500 516.0
34.22500 475.0
34.27500 512.0
34.32500 495.0
34.37500 502.0
34.42500 500.0
34.47500 494.0
34.52500 494.0
34.57500 506.0
34.62500 510.0
34.67500 526.0
34.72500 495.0
34.77500 514.0
34.82500 475.0
34.87500 499.0
34.92500 490.0
34.97500 459.0
35.02500 479.0
35.07500 514.0
35.12500 517.0
35.17500 497.0
35.22500 504.0
35.27500 500.0
35.32500 457.0
35.37500 473.0
35.42500 513.0
35.47500 507.0
35.52500 510.0
35.57500 523.0
35.62500 505.0
35.67500 560.0
35.72500 501.0
35.77500 509.0
35.82500 548.0
35.87500 567.0
35.92500 518.0
35.97500 596.0
36.02500 584.0
36.07500 601.0
36.12500 573.0
36.17500 595.0
36.22500 598.0
36.27500 604.0
36.32500 619.0
36.37500 660.0
36.42500 675.0
36.47500 681.0
36.52500 638.0
36.57500 608.0
36.62500 648.0
36.67500 672.0
36.72500 708.0
36.77500 700.0
36.82500 691.0
36.87500 671.0
36.92500 755.0
36.97500 828.0
37.02500 827.0
37.07500 837.0
37.12500 802.0
37.17500 852.0
37.22500 881.0
37.27500 946.0
37.32500 1002.0
37.37500 1110.0
37.42500 1061.0
37.47500 1229.0
37.52500 1358.0
37.57500 1376.0
37.62500 1634.0
37.67500 1834.0
37.72500 1942.0
37.77500 2288.0
37.82500 2556.0
37.87500 2937.0
37.92500 3255.0
37.97500 3693.0
38.02500 3957.0
38.07500 4156.0
38.12500 4352.0
38.17500 4530.0
38.22500 4491.0
38.27500 4424.0
38.32500 4413.0
38.37500 4238.0
38.42500 3754.0
38.47500 3499.0
38.52500 3224.0
38.57500 2792.0
38.62500 2512.0
38.67500 2265.0
38.72500 2039.0
38.77500 1831.0
38.82500 1632.0
38.87500 1539.0
38.92500 1385.0
38.97500 1263.0
39.02500 1141.0
39.07500 1053.0
39.12500 1057.0
39.17500 1003.0
39.22500 922.0
39.27500 951.0
39.32500 836.0
39.37500 820.0
39.42500 774.0
39.47500 770.0
39.52500 706.0
39.57500 730.0
39.62500 700.0
39.67500 660.0
39.72500 655.0
39.77500 610.0
39.82500 609.0
39.87500 632.0
39.92500 620.0
39.97500 582.0
40.02500 610.0
40.07500 596.0
40.12500 586.0
40.17500 537.0
40.22500 586.0
40.27500 546.0
40.32500 540.0
40.37500 560.0
40.42500 546.0
40.47500 547.0
40.52500 459.0
40.57500 516.0
40.62500 500.0
40.67500 523.0
40.72500 476.0
40.77500 497.0
40.82500 440.0
40.87500 526.0
40.92500 479.0
40.97500 514.0
41.02500 471.0
41.07500 502.0
41.12500 482.0
41.17500 505.0
41.22500 466.0
41.27500 517.0
41.32500 469.0
41.37500 422.0
41.42500 477.0
41.47500 480.0
41.52500 482.0
41.57500 482.0
41.62500 471.0
41.67500 515.0
41.72500 461.0
41.77500 508.0
41.82500 470.0
41.87500 536.0
41.92500 524.0
41.97500 433.0
42.02500 441.0
42.07500 504.0
42.12500 469.0
42.17500 489.0
42.22500 497.0
42.27500 522.0
42.32500 521.0
42.37500 507.0
42.42500 505.0
42.47500 524.0
42.52500 518.0
42.57500 510.0
42.62500 520.0
42.67500 538.0
42.72500 566.0
42.77500 526.0
42.82500 521.0
42.87500 603.0
42.92500 611.0
42.97500 595.0
43.02500 598.0
43.07500 605.0
43.12500 628.0
43.17500 583.0
43.22500 655.0
43.27500 641.0
43.32500 712.0
43.37500 735.0
43.42500 644.0
43.47500 782.0
43.52500 777.0
43.57500 839.0
43.62500 816.0
43.67500 928.0
43.72500 930.0
43.77500 1005.0
43.82500 1019.0
43.87500 1078.0
43.92500 1134.0
43.97500 1206.0
44.02500 1249.0
44.07500 1279.0
44.12500 1400.0
44.17500 1400.0
44.22500 1405.0
44.27500 1469.0
44.32500 1503.0
44.37500 1525.0
44.42500 1477.0
44.47500 1509.0
44.52500 1412.0
44.57500 1393.0
44.62500 1394.0
44.67500 1259.0
44.72500 1214.0
44.77500 1157.0
44.82500 1148.0
44.87500 1061.0
44.92500 1029.0
44.97500 953.0
45.02500 864.0
45.07500 849.0
45.12500 734.0
45.17500 747.0
45.22500 680.0
45.27500 700.0
45.32500 651.0
45.37500 575.0
45.42500 573.0
45.47500 581.0
45.52500 514.0
45.57500 552.0
45.62500 526.0
45.67500 490.0
45.72500 464.0
45.77500 432.0
45.82500 470.0
45.87500 440.0
45.92500 427.0
45.97500 419.0
46.02500 411.0
46.07500 437.0
46.12500 376.0
46.17500 383.0
46.22500 394.0
46.27500 383.0
46.32500 339.0
46.37500 396.0
46.42500 341.0
46.47500 364.0
46.52500 366.0
46.57500 379.0
46.62500 344.0
46.67500 349.0
46.72500 375.0
46.77500 341.0
46.82500 338.0
46.87500 381.0
46.92500 330.0
46.97500 319.0
47.02500 334.0
47.07500 324.0
47.12500 345.0
47.17500 313.0
47.22500 305.0
47.27500 347.0
47.32500 321.0
47.37500 330.0
47.42500 332.0
47.47500 314.0
47.52500 326.0
47.57500 306.0
47.62500 322.0
47.67500 329.0
47.72500 342.0
47.77500 292.0
47.82500 281.0
47.87500 328.0
47.92500 335.0
47.97500 310.0
48.02500 308.0
48.07500 322.0
48.12500 320.0
48.17500 300.0
48.22500 291.0
48.27500 309.0
48.32500 281.0
48.37500 328.0
48.42500 283.0
48.47500 310.0
48.52500 334.0
48.57500 309.0
48.62500 331.0
48.67500 293.0
48.72500 316.0
48.77500 282.0
48.82500 311.0
48.87500 328.0
48.92500 341.0
48.97500 303.0
49.02500 270.0
49.07500 303.0
49.12500 297.0
49.17500 324.0
49.22500 299.0
49.27500 305.0
49.32500 302.0
49.37500 326.0
49.42500 306.0
49.47500 295.0
49.52500 269.0
49.57500 300.0
49.62500 303.0
49.67500 295.0
49.72500 277.0
49.77500 314.0
49.82500 296.0
49.87500 299.0
49.92500 324.0
49.97500 351.0
50.02500 321.0
50.07500 333.0
50.12500 327.0
50.17500 311.0
50.22500 319.0
50.27500 307.0
50.32500 329.0
50.37500 344.0
50.42500 346.0
50.47500 339.0
50.52500 337.0
50.57500 322.0
50.62500 310.0
50.67500 326.0
50.72500 374.0
50.77500 334.0
50.82500 330.0
50.87500 337.0
50.92500 332.0
50.97500 337.0
51.02500 311.0
51.07500 384.0
51.12500 343.0
51.17500 358.0
51.22500 367.0
51.27500 332.0
51.32500 338.0
51.37500 359.0
51.42500 570.0
51.47500 1048.0
51.52500 1661.0
51.57500 2173.0
51.62500 2764.0
51.67500 3406.0
51.72500 3420.0
51.77500 2901.0
51.82500 2333.0
51.87500 1742.0
51.92500 1132.0
51.97500 632.0
52.02500 399.0
52.07500 394.0
52.12500 407.0
52.17500 418.0
52.22500 437.0
52.27500 376.0
52.32500 407.0
52.37500 447.0
52.42500 432.0
52.47500 442.0
52.52500 463.0
52.57500 435.0
52.62500 467.0
52.67500 457.0
52.72500 462.0
52.77500 489.0
52.82500 494.0
52.87500 505.0
52.92500 485.0
52.97500 486.0
53.02500 499.0
53.07500 518.0
53.12500 513.0
53.17500 541.0
53.22500 533.0
53.27500 542.0
53.32500 556.0
53.37500 576.0
53.42500 574.0
53.47500 592.0
53.52500 604.0
53.57500 689.0
53.62500 689.0
53.67500 813.0
53.72500 913.0
53.77500 991.0
53.82500 1185.0
53.87500 1193.0
53.92500 1150.0
53.97500 1028.0
54.02500 969.0
54.07500 868.0
54.12500 806.0
54.17500 770.0
54.22500 783.0
54.27500 785.0
54.32500 784.0
54.37500 810.0
54.42500 815.0
54.47500 817.0
54.52500 837.0
54.57500 871.0
54.62500 854.0
54.67500 828.0
54.72500 900.0
54.77500 916.0
54.82500 940.0
54.87500 967.0
54.92500 975.0
54.97500 984.0
55.02500 984.0
55.07500 957.0
55.12500 954.0
55.17500 1056.0
55.22500 1039.0
55.27500 974.0
55.32500 1040.0
55.37500 981.0
55.42500 1010.0
55.47500 980.0
55.52500 971.0
55.57500 967.0
55.62500 938.0
55.67500 878.0
55.72500 905.0
55.77500 968.0
55.82500 927.0
55.87500 857.0
55.92500 878.0
55.97500 840.0
56.02500 848.0
56.07500 865.0
56.12500 758.0
56.17500 850.0
56.22500 780.0
56.27500 745.0
56.32500 724.0
56.37500 721.0
56.42500 704.0
56.47500 686.0
56.52500 680.0
56.57500 681.0
56.62500 661.0
56.67500 629.0
56.72500 629.0
56.77500 614.0
56.82500 592.0
56.87500 599.0
56.92500 551.0
56.97500 577.0
57.02500 568.0
57.07500 499.0
57.12500 502.0
57.17500 515.0
57.22500 479.0
57.27500 512.0
57.32500 483.0
57.37500 488.0
57.42500 469.0
57.47500 465.0
57.52500 462.0
57.57500 422.0
57.62500 408.0
57.67500 401.0
57.72500 398.0
57.77500 434.0
57.82500 423.0
57.87500 388.0
57.92500 372.0
57.97500 362.0
58.02500 368.0
58.07500 365.0
58.12500 339.0
58.17500 342.0
